n,true_f,attack,tara_r2,fhat_mean,oracle_r2,fltrust_r2
7,0,none,0.5752,0.97,0.5698,0.5635
7,1,sign_flip,0.5754,1.0,0.5784,0.5256
7,1,scale,0.5754,1.0,0.5784,0.5743
7,1,gaussian,0.5754,1.0,0.5784,0.5357
7,1,little_is_enough,0.5754,1.0,0.5784,0.4027
7,1,fall_of_empires,0.5754,1.0,0.5784,0.5295
7,2,sign_flip,0.5937,2.0,0.5721,0.5049
7,2,scale,0.5937,2.0,0.5721,0.5824
7,2,gaussian,0.5937,2.0,0.5721,0.5364
7,2,little_is_enough,0.5937,2.0,0.5721,0.1787
7,2,fall_of_empires,0.5937,2.0,0.5721,0.5047
