n,f,gar,attack,clean_r2,attack_r2
7,2,mean,sign_flip,0.5698,-0.3226
7,2,mean,scale,0.5698,-inf
7,2,mean,gaussian,0.5698,-1.5923
7,2,mean,little_is_enough,0.5698,-1964482.625
7,2,mean,fall_of_empires,0.5698,nan
7,2,median,sign_flip,0.5875,0.5717
7,2,median,scale,0.5875,0.607
7,2,median,gaussian,0.5875,0.5855
7,2,median,little_is_enough,0.5875,0.4893
7,2,median,fall_of_empires,0.5875,0.5683
7,2,multi_krum,sign_flip,0.5802,0.5721
7,2,multi_krum,scale,0.5802,0.5721
7,2,multi_krum,gaussian,0.5802,0.5721
7,2,multi_krum,little_is_enough,0.5802,0.5721
7,2,multi_krum,fall_of_empires,0.5802,0.5721
7,2,centered_clipping,sign_flip,0.569,-0.3226
7,2,centered_clipping,scale,0.569,-4.245646230949185e+29
7,2,centered_clipping,gaussian,0.569,0.4284
7,2,centered_clipping,little_is_enough,0.569,-72.3456
7,2,centered_clipping,fall_of_empires,0.569,nan
7,2,bulyan,sign_flip,0.5802,0.5721
7,2,bulyan,scale,0.5802,0.5721
7,2,bulyan,gaussian,0.5802,0.5721
7,2,bulyan,little_is_enough,0.5802,0.5721
7,2,bulyan,fall_of_empires,0.5802,0.5721
7,2,geo_med,sign_flip,0.575,0.508
7,2,geo_med,scale,0.575,0.5763
7,2,geo_med,gaussian,0.575,0.5566
7,2,geo_med,little_is_enough,0.575,0.4965
7,2,geo_med,fall_of_empires,0.575,0.509
