n,f,gar,attack,clean_r2,attack_r2
7,2,mean,sign_flip,0.5759,-0.3443
7,2,mean,scale,0.5759,-inf
7,2,mean,gaussian,0.5759,-1.6686
7,2,mean,little_is_enough,0.5759,-2315657.5
7,2,mean,fall_of_empires,0.5759,nan
7,2,median,sign_flip,0.5629,0.2868
7,2,median,scale,0.5629,0.6816
7,2,median,gaussian,0.5629,0.5726
7,2,median,little_is_enough,0.5629,0.2643
7,2,median,fall_of_empires,0.5629,0.2966
7,2,multi_krum,sign_flip,0.5316,0.5542
7,2,multi_krum,scale,0.5316,0.5542
7,2,multi_krum,gaussian,0.5316,0.5542
7,2,multi_krum,little_is_enough,0.5316,0.5542
7,2,multi_krum,fall_of_empires,0.5316,0.5542
7,2,centered_clipping,sign_flip,0.5752,-0.3435
7,2,centered_clipping,scale,0.5752,-7.432759280979712e+29
7,2,centered_clipping,gaussian,0.5752,0.4314
7,2,centered_clipping,little_is_enough,0.5752,-68.0381
7,2,centered_clipping,fall_of_empires,0.5752,nan
7,2,bulyan,sign_flip,0.5316,0.5542
7,2,bulyan,scale,0.5316,0.5542
7,2,bulyan,gaussian,0.5316,0.5542
7,2,bulyan,little_is_enough,0.5316,0.5542
7,2,bulyan,fall_of_empires,0.5316,0.5542
7,2,geo_med,sign_flip,0.5673,0.456
7,2,geo_med,scale,0.5673,0.6375
7,2,geo_med,gaussian,0.5673,0.5818
7,2,geo_med,little_is_enough,0.5673,0.4521
7,2,geo_med,fall_of_empires,0.5673,0.4599
