n,f,gar,attack,clean_r2,attack_r2
7,1,mean,sign_flip,0.5759,0.136
7,1,mean,scale,0.5759,-7.1688061373971956e+19
7,1,mean,gaussian,0.5759,-0.6831
7,1,mean,little_is_enough,0.5759,-29.0534
7,1,mean,fall_of_empires,0.5759,nan
7,1,median,sign_flip,0.5629,0.4512
7,1,median,scale,0.5629,0.6585
7,1,median,gaussian,0.5629,0.6066
7,1,median,little_is_enough,0.5629,0.4128
7,1,median,fall_of_empires,0.5629,0.4473
7,1,multi_krum,sign_flip,0.5516,0.5629
7,1,multi_krum,scale,0.5516,0.5629
7,1,multi_krum,gaussian,0.5516,0.5629
7,1,multi_krum,little_is_enough,0.5516,0.5629
7,1,multi_krum,fall_of_empires,0.5516,0.5629
7,1,centered_clipping,sign_flip,0.5752,0.136
7,1,centered_clipping,scale,0.5752,-0.3584
7,1,centered_clipping,gaussian,0.5752,0.4991
7,1,centered_clipping,little_is_enough,0.5752,-2.2663
7,1,centered_clipping,fall_of_empires,0.5752,nan
7,1,bulyan,sign_flip,0.558,0.5832
7,1,bulyan,scale,0.558,0.5832
7,1,bulyan,gaussian,0.558,0.5832
7,1,bulyan,little_is_enough,0.558,0.5832
7,1,bulyan,fall_of_empires,0.558,0.5832
7,1,geo_med,sign_flip,0.5673,0.5372
7,1,geo_med,scale,0.5673,0.6115
7,1,geo_med,gaussian,0.5673,0.5807
7,1,geo_med,little_is_enough,0.5673,0.5457
7,1,geo_med,fall_of_empires,0.5673,0.5369
