n,true_f,attack,tara_r2,fhat_mean,oracle_r2,fltrust_r2
11,0,none,0.6425,1.03,0.6241,0.6212
11,1,sign_flip,0.6318,1.0,0.6398,0.609
11,1,scale,0.6318,1.0,0.6398,0.6276
11,1,gaussian,0.6318,1.0,0.6398,0.6148
11,1,little_is_enough,0.6318,1.0,0.6398,0.4947
11,1,fall_of_empires,0.6318,1.0,0.6398,0.6086
11,2,sign_flip,0.6394,2.0,0.6319,0.5942
11,2,scale,0.6394,2.0,0.6416,0.6415
11,2,gaussian,0.6394,2.0,0.6416,0.6132
11,2,little_is_enough,0.6394,2.0,0.6106,0.3627
11,2,fall_of_empires,0.6394,2.0,0.6416,0.5941
11,3,sign_flip,0.6181,3.0,0.6358,0.5684
11,3,scale,0.6181,3.0,0.6358,0.6451
11,3,gaussian,0.6181,3.0,0.6358,0.6108
11,3,little_is_enough,0.6181,3.0,0.6358,0.1988
11,3,fall_of_empires,0.6181,3.0,0.6358,0.5694
