formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
K8NO3,K,N,none,-0.7804806221041668,0.0,0.0,23.477106305056523,0.0,6.555542,6.555542,6.555542,90.0,90.0,90.0,0.0,K8 N1 O3,7.0,19.0,12.0,15.25,5.0,19.0,3.0,87.0,84.0,30.58333333333333,36.77777777777778,3.0,14.0067,39.0983,25.0916,31.23260833333333,10.487588888888888,39.0983,54.8,336.53,281.73,243.3075,124.29666666666664,336.53,1.0,16.0,15.0,5.916666666666667,6.555555555555556,1.0,2.0,4.0,2.0,3.333333333333333,0.8888888888888888,4.0,66.0,203.0,137.0,157.75,60.333333333333336,203.0,0.82,3.44,2.62,1.66,1.12,0.82,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,4.0,4.0,1.25,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.583333333333333,2.111111111111111,1.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,3.0,3.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.4166666666666667,0.5555555555555556,1.0,9.105,73.1066666667,64.00166666669999,52.244756944466666,27.81587962964444,73.1066666667,0.0,6.437,6.437,0.5364166666666667,0.9834305555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,171.83333333333334,79.91666666666666,229.0,K+8 N2-1 O2-3,-2,1,3,1.4142135623730951
LiAgO2,Ag,Li,none,-0.78,0.223,0.0,10.185471918968254,0.0,3.138235914202117,3.138235914202117,5.108903734065264,107.88659191345896,107.88659191345896,60.00000180876848,0.0,Ag1 Li1 O2,3.0,47.0,44.0,16.5,15.25,8.0,1.0,87.0,86.0,60.0,29.5,87.0,6.941,107.8682,100.9272,36.702,35.5831,15.9994,54.8,1234.93,1180.13,449.555,394.755,54.8,1.0,16.0,15.0,11.0,5.0,16.0,2.0,5.0,3.0,2.75,1.125,2.0,66.0,145.0,79.0,101.25,35.25,66.0,0.98,3.44,2.46,2.4475,0.9925,3.44,1.0,2.0,1.0,1.5,0.5,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0,6.0,2.5,6.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,2.0,9.105,16.5933333333,7.488333333299998,12.783333333325,3.678333333324999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,119.5,107.5,12.0,Ag3+1 Li+1 O2-2,-2,3,5,2.1213203435596424
Zn(AgO)2,Ag,Zn,none,-0.7792,0.021,0.0,14.467900685431704,0.4089999999999998,5.992977,5.992977,8.056572,90.0,90.0,90.0,0.0,Ag2 O2 Zn1,8.0,47.0,39.0,28.0,16.0,8.0,65.0,87.0,22.0,74.6,9.919999999999998,65.0,15.9994,107.8682,91.8688,62.62303999999999,37.298912,15.9994,54.8,1234.93,1180.13,654.428,479.7024,54.8,11.0,16.0,5.0,13.2,2.24,11.0,2.0,5.0,3.0,3.6,1.28,2.0,66.0,145.0,79.0,108.8,34.239999999999995,66.0,1.65,3.44,1.79,2.478,0.7696000000000001,1.93,1.0,2.0,1.0,1.6,0.48,1.0,0.0,4.0,4.0,1.6,1.92,0.0,0.0,10.0,10.0,6.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,6.0,9.2,2.56,6.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,2.0,2.0,0.8,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.64,1.0,9.105,16.33,7.224999999999998,12.966,3.0887999999999995,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,133.6,97.28,12.0,Ag+2 O2-2 Zn2+1,-2,2,4,1.6733200530681511
Ag2Pt3O8,Ag,Pt,none,-0.77909946,0.009670889,0.0001309,13.601391123110703,0.0,5.359585304380532,6.29387556,6.313113917952107,119.89924509545162,104.43336156220286,90.0,0.0,Ag2 O8 Pt3,8.0,78.0,70.0,30.153846153846157,27.266272189349117,8.0,63.0,87.0,24.0,78.07692307692308,10.98224852071006,87.0,15.9994,195.084,179.0846,71.46027692307692,68.25954082840236,15.9994,54.8,2041.4,1986.6,694.8046153846154,787.6979881656806,54.8,10.0,16.0,6.0,13.846153846153848,2.650887573964497,16.0,2.0,6.0,4.0,3.3846153846153846,1.7041420118343196,2.0,66.0,145.0,79.0,94.3076923076923,34.84023668639053,66.0,1.93,3.44,1.51,2.94,0.6153846153846154,3.44,1.0,2.0,1.0,1.6153846153846154,0.4733727810650887,2.0,0.0,4.0,4.0,2.4615384615384617,1.893491124260355,4.0,0.0,10.0,10.0,3.615384615384616,4.449704142011834,0.0,0.0,14.0,14.0,3.230769230769231,4.970414201183432,0.0,6.0,24.0,18.0,10.923076923076923,6.059171597633137,6.0,0.0,1.0,1.0,0.3846153846153846,0.4733727810650888,0.0,0.0,2.0,2.0,1.2307692307692308,0.9467455621301776,2.0,0.0,1.0,1.0,0.2307692307692307,0.3550295857988165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.8461538461538465,0.2603550295857987,2.0,9.105,16.33,7.224999999999998,11.58153846153846,3.048047337278106,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,93.92307692307692,100.82840236686393,12.0,Ag+1 Ag3+1 O2-8 Pt4+3,-2,4,6,2.631174057921088
CuClO,Cl,Cu,none,-0.77827066,0.09680884,0.0,18.31897579751499,0.0815,3.55641596298542,5.811248218674654,6.609654258812681,59.443645733880125,89.21586663611332,71.72766611120323,0.0,Cl1 Cu1 O1,8.0,29.0,21.0,18.0,7.333333333333333,8.0,64.0,94.0,30.0,81.66666666666667,11.777777777777777,64.0,15.9994,63.546,47.5466,38.3328,16.808799999999998,15.9994,54.8,1357.77,1302.97,528.0566666666666,553.1422222222222,54.8,11.0,17.0,6.0,14.666666666666666,2.4444444444444446,11.0,2.0,4.0,2.0,3.0,0.6666666666666666,2.0,66.0,132.0,66.0,100.0,22.666666666666668,66.0,1.9,3.44,1.54,2.833333333333333,0.6222222222222222,1.9,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.0,2.0,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,9.105,24.4975,15.392499999999998,14.890833333333331,6.404444444444444,9.105,0.0,2.493,2.493,0.831,1.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,100.33333333333331,83.1111111111111,12.0,Cl-1 Cu3+1 O2-1,-2,3,5,2.160246899469287
FeAgO3,Ag,Fe,none,-0.7779,0.195,0.0,11.314294901510396,0.0,5.104851,5.260439,8.426601,90.0,90.0,90.0,0.0,Ag1 Fe1 O3,8.0,47.0,39.0,19.4,13.68,8.0,55.0,87.0,32.0,76.2,12.96,87.0,15.9994,107.8682,91.8688,42.34228,31.611456,15.9994,54.8,1811.0,1756.2,642.066,704.7192000000001,54.8,8.0,16.0,8.0,13.4,3.12,16.0,2.0,5.0,3.0,3.0,1.2,2.0,66.0,145.0,79.0,95.0,34.8,66.0,1.83,3.44,1.61,2.816,0.7487999999999999,3.44,1.0,2.0,1.0,1.8,0.3199999999999999,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,10.0,10.0,3.2,3.8400000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,7.4,1.6800000000000002,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2,0.7200000000000001,2.0,9.105,16.33,7.224999999999998,10.875,2.1819999999999995,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,12.0,229.0,217.0,98.0,103.2,12.0,Ag3+1 Fe3+1 O2-3,-2,3,5,2.449489742783178
AgPO,Ag,P,none,-0.7774,0.355,0.0,15.709193670716296,0.0,5.52393,5.87053,5.877677241417821,81.50059149410576,90.0,90.0,0.0,Ag1 O1 P1,8.0,47.0,39.0,23.33333333333333,15.777777777777777,8.0,65.0,87.0,22.0,78.33333333333333,8.888888888888891,65.0,15.9994,107.8682,91.8688,51.613787333333335,37.50294177777778,15.9994,54.8,1234.93,1180.13,535.6766666666666,466.1688888888889,54.8,11.0,16.0,5.0,14.0,2.0,11.0,2.0,5.0,3.0,3.333333333333333,1.1111111111111112,2.0,66.0,145.0,79.0,106.0,26.666666666666668,66.0,1.93,3.44,1.51,2.52,0.6133333333333334,1.93,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,4.0,4.0,2.333333333333333,1.5555555555555554,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,6.0,7.333333333333333,2.444444444444444,5.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,3.0,3.0,1.6666666666666667,1.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.6666666666666666,1.0,9.105,22.5702380952,13.4652380952,16.001746031733333,4.5978306878222215,9.105,0.0,1.625,1.625,0.5416666666666666,0.7222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225.0,223.0,79.66666666666667,96.8888888888889,2.0,Ag3+1 O2-1 P-1,-2,3,5,2.160246899469287
Ag4GeO4,Ag,Ge,none,-0.7761,0.014,0.0,14.586376666193084,0.0,6.426654943063381,8.523257160407926,10.098364247026591,106.85143202246192,92.73190156243814,95.67243206531522,0.0,Ag4 Ge1 O4,8.0,47.0,39.0,28.0,17.77777777777778,8.0,65.0,87.0,22.0,76.33333333333333,10.074074074074074,65.0,15.9994,107.8682,91.8688,63.12337777777778,41.88798024691359,15.9994,54.8,1234.93,1180.13,707.8133333333334,580.4562962962963,54.8,11.0,16.0,5.0,13.555555555555555,2.271604938271605,11.0,2.0,5.0,3.0,3.555555555555556,1.382716049382716,2.0,66.0,145.0,79.0,107.11111111111111,36.543209876543216,66.0,1.93,3.44,1.51,2.6100000000000003,0.7377777777777779,1.93,1.0,2.0,1.0,1.5555555555555556,0.4938271604938272,1.0,0.0,4.0,4.0,2.0,1.7777777777777777,0.0,0.0,10.0,10.0,5.555555555555555,4.938271604938271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,9.11111111111111,2.765432098765432,6.0,0.0,1.0,1.0,0.4444444444444444,0.4938271604938272,0.0,0.0,4.0,4.0,1.3333333333333333,1.1851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.7777777777777777,0.691358024691358,1.0,9.105,23.005,13.9,13.860555555555557,4.22716049382716,9.105,0.0,0.383,0.383,0.0425555555555555,0.0756543209876543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,130.33333333333334,105.18518518518518,12.0,Ag+4 Ge4+1 O2-4,-2,4,6,2.0
MnPdO2,Mn,Pd,none,-0.77602524,0.6760665,9.680029,10.889462973518,0.0,5.54860001,5.54860001,4.837384159035238,55.00447600535047,55.00447600535047,90.0,0.0,Mn1 O2 Pd1,8.0,46.0,38.0,21.75,13.75,8.0,52.0,87.0,35.0,72.0,15.0,87.0,15.9994,106.42,90.4206,48.339211250000005,32.33981125,15.9994,54.8,1828.05,1773.25,864.1624999999999,809.3625,54.8,7.0,16.0,9.0,12.25,3.75,16.0,2.0,5.0,3.0,3.25,1.25,2.0,66.0,139.0,73.0,102.5,36.5,66.0,1.55,3.44,1.89,2.6575,0.7825,3.44,0.0,2.0,2.0,1.5,0.75,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,10.0,10.0,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,4.0,7.25,1.375,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.25,1.375,2.0,9.105,14.41,5.305,10.776896551725,1.8165517241374995,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,7.753017241375e-05,0.0001162952586206,0.0,12.0,225.0,213.0,116.5,104.5,12.0,Mn2+1 O2-2 Pd2+1,-2,2,4,2.0
Tl2SnO2,Sn,Tl,none,-0.7752749,0.4912985,0.0,20.500749199196925,0.0,6.10691949,6.10691949,5.49699502,90.0,90.0,90.0,0.0,O2 Sn1 Tl2,8.0,81.0,73.0,45.6,30.079999999999995,8.0,76.0,87.0,11.0,81.2,4.640000000000001,76.0,15.9994,204.3833,188.3839,111.89508,76.716544,15.9994,54.8,577.0,522.2,353.736,239.1488,54.8,13.0,16.0,3.0,14.4,1.28,13.0,2.0,6.0,4.0,4.2,1.7600000000000002,2.0,66.0,145.0,79.0,112.2,36.96,66.0,1.62,3.44,1.82,2.416,0.8192,1.62,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.4,1.28,1.0,0.0,10.0,10.0,6.0,4.8,0.0,0.0,14.0,14.0,5.6,6.719999999999999,0.0,6.0,27.0,21.0,16.0,8.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.6,1.28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.6,1.28,2.0,9.105,33.285,24.18,21.063,9.566399999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,110.6,78.88,12.0,O2-2 Sn2+1 Tl+2,-2,2,4,1.6733200530681511
